,School Name,SED Code,Location Code,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,Number of students who registered for the SHSAT,Number of students who took the SHSAT,AllTested,All4,Native4,AfricanAmerican4,Latino4,Islander4,White4,Multiracial4,LimitedEnglish4,Disadv4,AllMath4Tested,AllMath4,NativeMath4,AfricanAmericanMath4,LatinoMath4,IslanderMath4,WhiteMath4,MultiracialMath4,LimitedEnglishMath4,DisadvMath4,Count of Students in HS Admissions,Count of Testers,Count of Offers
0,P.S. 015 ROBERTO CLEMENTE,310100010015,01M015,Yes,0.919,"$31,141.72 ",9%,5%,32%,60%,92%,1%,94%,18%,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,2.14,2.17,,,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1,P.S. 019 ASHER LEVY,310100010019,01M019,No,0.6409999999999999,"$56,462.88 ",5%,10%,20%,63%,83%,6%,92%,30%,,,,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,2.63,2.98,,,15.666666666666666,2.3333333333333335,0.0,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.0,0.0,0.0,1.5,15.5,3.3333333333333335,0.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,0.0,0.0,2.5,,,
2,P.S. 020 ANNA SILVER,310100010020,01M020,No,0.7440000000000001,"$44,342.61 ",15%,35%,8%,49%,57%,4%,94%,20%,Meeting Target,Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,2.39,2.54,,,36.5,2.8333333333333335,0.0,0.0,0.3333333333333333,1.8333333333333333,0.3333333333333333,0.0,0.0,0.5,36.666666666666664,5.666666666666667,0.0,0.0,0.6666666666666666,4.5,0.3333333333333333,0.0,0.16666666666666666,2.6666666666666665,,,
3,P.S. 034 FRANKLIN D. ROOSEVELT,310100010034,01M034,No,0.86,"$31,454.00 ",7%,5%,29%,63%,92%,4%,92%,28%,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,2.48,2.47,,,41.166666666666664,1.5,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.5,41.5,2.1666666666666665,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.0,0.5,58.0,6.0,5.0
4,THE STAR ACADEMY - P.S.63,310100010063,01M063,No,0.73,"$46,435.59 ",3%,4%,20%,65%,84%,10%,93%,23%,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,2.38,2.54,,,8.0,0.8333333333333334,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,8.0,1.6666666666666667,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,,,
5,P.S. 064 ROBERT SIMON,310100010064,01M064,No,0.858,"$39,415.45 ",6%,7%,19%,66%,84%,7%,92%,33%,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,2.29,2.48,,,18.5,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,19.166666666666668,2.1666666666666665,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.5,,,
6,P.S. 110 FLORENCE NIGHTINGALE,310100010110,01M110,No,0.499,"$43,706.73 ",1%,16%,10%,43%,53%,27%,95%,13%,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Not Meeting Target,Exceeding Target,2.8,3.2,,,32.5,7.166666666666667,0.0,0.3333333333333333,1.6666666666666667,0.5,3.6666666666666665,0.0,0.0,2.3333333333333335,32.5,13.0,0.0,0.16666666666666666,3.6666666666666665,2.0,4.666666666666667,0.0,0.0,5.166666666666667,,,
7,P.S. 134 HENRIETTA SZOLD,310100010134,01M134,No,0.833,"$28,820.67 ",12%,21%,20%,55%,75%,3%,91%,36%,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,2.28,2.73,,,18.666666666666668,1.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,18.833333333333332,3.1666666666666665,0.0,0.0,1.1666666666666667,1.6666666666666667,0.0,0.0,0.16666666666666666,1.1666666666666667,,,
8,P.S. 140 NATHAN STRAUS,310100010140,01M140,No,0.8490000000000001,"$34,889.24 ",14%,5%,13%,78%,90%,3%,93%,27%,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,2.21,2.27,,,40.333333333333336,0.8333333333333334,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,40.666666666666664,1.5,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,67.0,6.0,5.0
9,P.S. 142 AMALIA CASTRO,310100010142,01M142,No,0.861,"$35,545.10 ",8%,6%,11%,78%,90%,2%,92%,27%,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,2.16,2.31,,,24.0,1.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,23.333333333333332,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,,,
